Make,Power,Percentage_Change,Age
Porsche,gas,9.3,5
Porsche,gas,4.72,1
Toyota,hybrid,27.2,5
Subaru,gas,15.85,2
Nissan,gas,33,6
Tesla,electric,41.08,3
BMW,gas,1.08,1
Subaru,gas,10.29,1
Chevrolet,gas,8.28,2
Kia,gas,36.82,7
Subaru,hybrid,24.5,5
Lincoln,gas,54.7,6
Jeep,gas,33.28,8
Maserati,gas,64.5,5
BMW,gas,6.27,1
Maserati,gas,16.61,2
BMW,gas,17.23,3
Cadillac,gas,4.07,1
BMW,hybrid,58.8,5
INFINITI,gas,58.1,5
Jeep,gas,69.36,9
Maserati,gas,20.07,3
Jaguar,gas,14.31,2
Audi,gas,21.86,3
Audi,gas,4.15,1
Volvo,gas,8.19,1
Nissan,gas,14.13,2
Mercedes_Benz,gas,55.7,5
Land_Rover,gas,55.6,6
Cadillac,gas,17.64,3
Honda,gas,8.55,5
Subaru,gas,26.2,4
Toyota,gas,38.08,7
Toyota,gas,18.6,2
Ford,gas,5.57,1
INFINITI,gas,32.1,3 
